Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,253640693,3254.081464,3432312,44.03482235,427515,5104899,65.49326535,50151,0.643411897,6412
USA,Americas,46780515,14132.973,587281,177.425,83155,756664,228.598,8049,2.432,714
India,South-East Asia,34456401,2496.833,79288,5.745,8865,463852,33.612,2463,0.178,197
Brazil,Americas,21957967,10330.272,77528,36.474,4129,611283,287.582,1836,0.864,61
The United Kingdom,Europe,9600373,14141.903,266478,392.537,39270,142945,210.566,1083,1.595,47
Russia,Europe,9145912,6267.137,272257,186.561,36818,257837,176.68,8622,5.908,1240
Turkey,Europe,8432018,9997.761,172515,204.549,23852,73746,87.44,1432,1.698,215
France,Europe,7064362,10861.672,69787,107.3,3241,115777,178.011,251,0.386,70
Iran,Eastern Mediterranean,6045212,7197.285,49057,58.406,7494,128272,152.718,833,0.992,105
Argentina,Americas,5305742,11739.465,8961,19.827,0,116232,257.174,128,0.283,0
Germany,Europe,5077124,6104.755,272746,327.951,32048,97980,117.812,1253,1.507,265
Spain,Europe,5056954,10683.868,23060,48.719,1288,87716,185.318,83,0.175,1
Colombia,Americas,5031945,9889.267,16903,33.219,2610,127809,251.183,276,0.542,43
Italy,Europe,4865260,8157.509,52265,87.632,5144,132819,222.696,396,0.664,44
Indonesia,South-East Asia,4251423,1554.317,2580,0.943,347,143685,52.531,107,0.039,15
Mexico,Americas,3845733,2982.743,18947,14.695,942,291147,225.813,1413,1.096,58
Ukraine,Europe,3244749,7419.323,137260,313.854,16308,77985,178.318,4595,10.507,838
Poland,Europe,3230634,8511.044,105455,277.819,16611,79161,208.548,1181,3.111,282
South Africa,Africa,2926075,4933.636,2003,3.377,136,89489,150.887,137,0.231,5
Philippines,Western Pacific,2818511,2572.078,13226,12.07,1547,45709,41.712,1188,1.084,128
Malaysia,Western Pacific,2551452,7883.125,40600,125.44,5143,29729,91.853,380,1.174,53
Netherlands,Europe,2314304,13294.802,101690,584.171,19274,18750,107.712,167,0.959,16
Peru,Americas,2214543,6716.465,7033,21.33,995,200635,608.504,197,0.597,30
Iraq,Eastern Mediterranean,2070076,5146.563,6065,15.079,829,23536,58.515,164,0.408,33
Thailand,South-East Asia,2030700,2909.313,48205,69.062,5947,20143,28.858,379,0.543,62
Czechia,Europe,1907629,17838.413,79057,739.269,11514,31636,295.831,429,4.012,45
Canada,Americas,1745349,4624.402,12470,33.04,0,29309,77.656,153,0.405,0
Romania,Europe,1744440,9025.064,33303,172.297,2136,53264,275.568,2268,11.734,195
Chile,Americas,1728767,9043.465,17325,90.63,2286,38001,198.789,122,0.638,26
Japan,Western Pacific,1725561,1364.334,1242,0.982,95,18327,14.49,14,0.011,0
Bangladesh,South-East Asia,1572735,954.97,1301,0.79,0,27926,16.957,22,0.013,0
Belgium,Europe,1512474,13126.334,54584,473.719,7,26403,229.144,166,1.441,8
Israel,Europe,1337887,15457,2957,34.163,521,8143,94.078,13,0.15,0
Pakistan,Eastern Mediterranean,1279876,579.412,2716,1.23,240,28612,12.953,65,0.029,6
Serbia,Europe,1214650,17535.755,27277,393.795,3487,10896,157.304,424,6.121,57
Sweden,Europe,1182471,11449.633,3791,36.708,0,15082,146.036,5,0.048,0
Portugal,Europe,1108462,10766.043,10337,100.399,974,18265,177.401,56,0.544,8
Kazakhstan,Europe,1039671,5537.025,8760,46.654,952,17549,93.462,185,0.985,18
Viet Nam,Western Pacific,1035138,1063.441,58466,60.065,8616,23183,23.817,585,0.601,101
Austria,Europe,969407,10890.911,79969,898.421,12199,11408,128.164,169,1.899,29
Hungary,Europe,966167,9889.6,51581,527.979,5323,32336,330.988,815,8.342,165
Cuba,Americas,959064,8467.348,2612,23.061,326,8283,73.129,18,0.159,1
Morocco,Eastern Mediterranean,948271,2569.105,820,2.222,45,14746,39.951,25,0.068,3
Switzerland,Europe,914805,10570.137,19409,224.262,5,10900,125.944,33,0.381,0
Jordan,Eastern Mediterranean,895564,8777.342,17198,168.556,3441,11255,110.309,110,1.078,17
Greece,Europe,838824,7825.898,46585,434.62,6950,16838,157.092,477,4.45,72
Nepal,South-East Asia,817672,2806.32,2300,7.894,339,11482,39.407,28,0.096,4
Georgia,Europe,791115,19831.544,30048,753.238,5204,11140,279.256,556,13.938,83
United Arab Emirates,Eastern Mediterranean,741006,7492.173,506,5.116,61,2144,21.678,2,0.02,1
Tunisia,Eastern Mediterranean,715716,6055.834,2364,20.002,29,25315,214.196,34,0.288,4
Bulgaria,Europe,658870,9478.123,20822,299.533,3223,26555,382.005,1147,16.5,276
Lebanon,Eastern Mediterranean,652966,9566.644,6097,89.328,231,8588,125.823,37,0.542,6
